Description Tokens,Title Lvl,Avg. Salary Standardized
"visio, python, power_bi, powerpoint, tableau, jira, excel",SR,
tableau,SR,
"sql, t-sql, power_bi, tableau, looker",SR,
"sql, shell, splunk, mongodb, java, no-sql, azure",SR,
"sql, sap, gcp",SR,
"sql, python, splunk, linux, github, hadoop, java",SR,
"sql, python, sap",SR,
"sql, python, power_bi, tableau, looker, excel, vba, r",SR,
"sql, python, power_bi, tableau",SR,
"sql, python, power_bi, sas, gcp, tableau, r",SR,
"sql, powerpoint, excel, gcp, tableau",SR,
"sql, power_bi, sas, gcp, tableau",SR,
"sql, power_bi, python, power_bi, tableau, r",SR,
"sql, power_bi, go, gcp, tableau, looker, bigquery",SR,
"sql, javascript, splunk, tableau, jquery, hadoop, java",SR,
"sql, gcp, tableau, looker",SR,
sql,SR,
"spark, sql, python, tableau, airflow",SR,
"spark, sql, python, snowflake, power_bi, tableau, scala, looker, bigquery, r",SR,
"spark, sql, python, snowflake, aws, power_bi, gcp, tableau, scala, bigquery, redshift, azure, r",SR,
"spark, sql, python, power_bi, word, tableau, scala, r",SR,
"spark, sql, python, power_bi, tableau, scala, r",SR,
"spark, sql, python, power_bi, tableau, scala, looker, r",SR,
"spark, sql, python, power_bi, tableau, scala, looker, hadoop, r",SR,
"spark, sql, python, power_bi, tableau, scala, looker, crystal, r",SR,100000
"spark, sql, python, power_bi, tableau, scala, looker, airflow, r",SR,
"spark, sql, python, power_bi, tableau, scala, excel, r",SR,
"spark, sql, python, power_bi, tableau, scala, crystal, r",SR,90000
"spark, sql, python, power_bi, sas, matlab, tableau, scala, tensorflow, bigquery, nosql, vba, r",SR,90000
"spark, sql, python, power_bi, power_bi, tableau, scala, r",SR,
"spark, sql, python, power_bi, gcp, tableau, scala, r",SR,
"spark, sql, python, postgres, gcp, scala, airflow, hadoop, nosql",SR,
"spark, sql, python, nuix, power_bi, tableau, scala, r",SR,
"spark, sql, python, nuix, power_bi, tableau, scala, excel, r",SR,
"spark, sql, python, gcp, power_bi, tableau, scala, looker, r",SR,
"spark, sql, python, aws, power_bi, tableau, scala, looker, hadoop, bigquery, excel, azure, r",SR,
"spark, sql, power_bi, python, power_bi, word, tableau, scala, r",SR,
"spark, sql, power_bi, python, power_bi, tableau, scala, r",SR,
"spark, sql, power_bi, python, power_bi, sap, gcp, tableau, scala, excel, r",SR,
"spark, sql, power_bi, python, power_bi, gcp, tableau, scala, nosql, r",SR,
"spark, sql, power_bi, python, power_bi, gcp, tableau, scala, looker, r",SR,
"spark, sql, power_bi, python, power_bi, gcp, tableau, scala, looker, nosql, r",SR,
"spark, sql, power_bi, python, power_bi, gcp, tableau, scala, looker, crystal, nosql, r",SR,114000
"spark, sql, power_bi, python, matplotlib, power_bi, sas, tableau, scala, nosql, excel, vba, r",SR,
"spark, sql, power_bi, python, matplotlib, power_bi, sas, tableau, scala, nosql, excel, r",SR,
"spark, sql, power_bi, python, matplotlib, power_bi, sas, tableau, scala, nosql, excel, java, r",SR,
"spark, sql, power_bi, python, matplotlib, power_bi, sas, tableau, scala, looker, jira, nosql, excel, r",SR,
"spark, sql, power_bi, gcp, looker, airflow, nosql, pyspark",SR,100000
"spark, sql, pandas, python, scala, numpy, tensorflow, pyspark, scikit-learn, r",SR,
"spark, sql, bigquery, power_bi, python, power_bi, tableau, scala, looker, r",SR,
"spark, sql, alteryx, python, power_bi, tableau, scala, r",SR,
"spark, sql, alteryx, python, power_bi, sas, tableau, scala, r",SR,
"spark, sql, alteryx, power_bi, python, power_bi, sap, gcp, tableau, scala, looker, jira, hadoop, bigquery, azure, r",SR,
"spark, python, scala, tensorflow, r",SR,
"spark, python, scala, tensorflow, excel, r",SR,
"spark, c++, sql, python, scala, bigquery, nosql, java",SR,
"spark, c++, sql, power_bi, python, matplotlib, power_bi, tableau, scala, jira, tensorflow, java, r",SR,
"spark, c++, sql, power_bi, python, matplotlib, go, tableau, scala, tensorflow, nosql, excel, java, r",SR,
"python, sas, word, r",SR,
"power_bi, tableau",SR,
"mysql, sql, python, power_bi, sap, dax, sas, css, tableau, looker, jira, spss, html",SR,
"mysql, spark, sql, python, microstrategy, power_bi, sap, tableau, scala, looker, r",SR,
,SR,
"sql, tableau",MD,
"sql, snowflake, hadoop, nosql",MD,
"sql, shell, splunk, mongodb, java, no-sql, azure",MD,
"sql, python, ssrs, power_bi, tableau, jira",MD,
"sql, python, power_bi, tableau, looker, excel, vba, r",MD,
"sql, python, postgresql, sas, matlab, tableau, looker, excel, vba, r",MD,
"sql, power_bi, tableau, looker, jira, bigquery",MD,
"sql, nosql",MD,
"sql, gcp, tableau, looker",MD,
"sql, alteryx, python, powerpoint, word, tableau, excel, r",MD,
"sql, alteryx, power_bi, tableau, looker, r",MD,
"sql, alteryx, power_bi, tableau, looker, bigquery",MD,
"sql, alteryx, power_bi, bigquery",MD,
"spark, sql, python, splunk, power_bi, tableau, scala, looker, r",MD,
"spark, sql, python, r",MD,
"spark, sql, python, power_bi, tableau, scala, r",MD,
"spark, sql, python, power_bi, tableau, scala, bigquery, r",MD,125000
"spark, sql, python, microstrategy, power_bi, sap, tableau, scala, looker, r",MD,
"spark, sql, python, git, pytorch, scala, jira, tensorflow, pyspark, azure, r",MD,125000
"spark, sql, power_bi, python, matplotlib, power_bi, sas, tableau, scala, nosql, excel, r",MD,
"spark, sql, power_bi, python, git, tableau, scala, looker, airflow, bigquery, java, azure",MD,
"spark, sql, pandas, power_bi, python, matplotlib, power_bi, tableau, scala, numpy, nosql, excel, r",MD,
"spark, sql, git, gcp, jira, hadoop, bigquery",MD,
"spark, sql, bigquery, power_bi, python, power_bi, tableau, scala, looker, r",MD,
"spark, c++, sql, power_bi, python, matplotlib, tableau, scala, tensorflow, nosql, excel, java, r",MD,
"python, sas, word, r",MD,
"power_bi, tableau, r, sas",MD,
"power_bi, sas, word, tableau, r",MD,
"power_bi, dax",MD,
outlook,MD,
excel,MD,
assembly,MD,
"alteryx, power_bi, tableau, looker",MD,
"alteryx, power_bi, power_bi",MD,
,MD,
"spark, sql, qlik, python, power_bi, tableau, scala, looker, excel, r",EN,
"spark, sql, power_bi, python, matplotlib, power_bi, sas, tableau, scala, nosql, excel, r",EN,
,EN,
"sql, splunk, tableau, r",ANY,
"sql, python, power_bi, tableau, looker, excel, vba, r",ANY,
"sql, power_bi, python, matplotlib, sas, gcp, tableau, looker, nosql, excel, r",ANY,
"sql, alteryx, bigquery, nltk, excel, python, power_bi, tableau, looker, r, sas",ANY,
"spark, tensorflow, python, scala, r",ANY,
"spark, sql, python, scala, tensorflow, nosql, r",ANY,
"spark, sql, python, pytorch, scala, tensorflow, pyspark, azure, r",ANY,
"spark, sql, python, power_bi, word, tableau, scala, r",ANY,
"spark, sql, python, git, pytorch, scala, jira, tensorflow, pyspark, azure, r",ANY,
"spark, sql, power_bi, python, power_bi, tableau, scala, looker, bigquery, r",ANY,
"spark, sql, power_bi, python, power_bi, powerpoint, tableau, scala, excel, java, r",ANY,
"spark, sql, power_bi, python, matplotlib, power_bi, sas, gcp, tableau, scala, looker, nosql, excel, r",ANY,
"spark, sql, power_bi, nosql, python, gcp, power_bi, tableau, scala, looker, r",ANY,
"spark, sql, alteryx, python, power_bi, tableau, scala, r",ANY,
"spark, sql, alteryx, power_bi, python, power_bi, sap, gcp, tableau, scala, looker, jira, hadoop, bigquery, azure, r",ANY,
"spark, sql, airflow, bigquery, excel, python, github, mssql, tableau, jira, r",ANY,
"spark, python, scala, tensorflow, r",ANY,125000
"spark, c++, sql, python, scala, tensorflow, nosql, java, r",ANY,
"spark, c++, sql, power_bi, python, matplotlib, tableau, scala, tensorflow, nosql, excel, java, r",ANY,
,ANY,
